Date,GLD,SP_open,DJ_open,EG_open,OF_Open,OS_Open,SF_Open,USB_Open,PLT_Open,PLD_Open,USDI_Open,GDX_Open,USO_Open
23-04-2014,123.699997,187.820007,16513.73047,29.65,109.5,101.92,42335,2.717,1403.7,785.7,79.98,23.83,37.040001
25-04-2014,125.169998,187.220001,16503.25977,29.4,110.33,101.95,42615,2.686,1412.75,800.75,79.845,24.129999,36.580002
28-04-2014,125.300003,187.050003,16363.2002,29.700001,109.5,100.52,42746,2.675,1430.4,810.1,79.805,24.309999,36.740002
29-04-2014,124.949997,187.479996,16451.17969,29.6,108.13,100.91,42302,2.708,1419.4,800.65,79.76,23.93,37.07
01-05-2014,123.169998,188.220001,16580.25977,30.15,108.08,99.8,41023,2.659,1427.15,809.75,79.57,23.85,36.029999
02-05-2014,123.690002,188.309998,16562.33984,30.1,107.72,99.24,40940,2.615,1424.95,815.85,79.56,23.92,36.169998
05-05-2014,126.470001,187.139999,16509.75,31.6,108.92,99.98,42012,2.575,1441.95,812.1,79.56,24.6,36.259998
06-05-2014,126.019997,188,16529.84961,31.35,107.53,99.44,42527,2.606,1451.95,818,79.55,24.43,36.310001
07-05-2014,125.519997,187.410004,16401.66016,30.85,107.17,99.86,42596,2.599,1454.1,817.15,79.165,24.200001,36.509998
08-05-2014,124.190002,187.710007,16518.16016,29.9,108.07,100.86,41900,2.623,1439,797.95,79.27,23.82,36.419998
09-05-2014,124.389999,187.710007,16551.23047,30,108.08,100.36,41618,2.611,1438.3,805.6,79.46,23.85,36.669998
12-05-2014,125.400002,188.800003,16584.82031,30.35,107.94,100.14,41469,2.631,1426.2,801,79.915,24.01,36.639999
13-05-2014,124.790001,190.039993,16695.91992,29.9,108.37,100.65,41980,2.661,1438.3,805.05,79.955,23.93,36.830002
14-05-2014,125.800003,189.789993,16716.08008,29.75,109.39,101.97,42149,2.616,1453.25,828.4,80.17,24.040001,37.220001
15-05-2014,124.769997,188.679993,16613.51953,29.9,110.21,102.06,42348,2.543,1480.85,827.95,80.115,23.809999,37.119999
16-05-2014,124.349998,187.509995,16447.32031,29.6,108.96,101.62,41625,2.495,1472.35,812.1,80.06,23.48,37.110001
19-05-2014,125.279999,187.690002,16490.34961,29.299999,109.82,102.6,41030,2.521,1468.95,815.75,80.11,23.620001,37.419998
20-05-2014,124.120003,188.649994,16511.2207,28.950001,109.33,102.6,40902,2.543,1473.15,816.35,80.08,23.280001,37.330002
21-05-2014,124.25,188.089996,16376.16992,29.15,109.76,102.99,41095,2.509,1470.9,827.5,80.075,23.280001,37.77
22-05-2014,125.139999,189.179993,16532.74023,29.700001,110.49,103.86,41000,2.543,1474.45,829.3,80.135,23.629999,38.110001
23-05-2014,124.599998,189.759995,16544.49023,29.799999,110.38,103.77,40926,2.552,1488.8,835.2,80.295,23.42,38.099998
27-05-2014,122.980003,191.059998,16607.41992,29.25,110.35,104.38,41160,2.539,1479.6,832.2,80.335,23,38
28-05-2014,121.470001,191.520004,16674.98047,28.35,110.22,104.16,40440,2.514,1465.9,834.2,80.4,22.33,37.990002
29-05-2014,120.779999,191.820007,16637.74023,28.25,109.89,103.09,40110,2.448,1458.7,834.6,80.61,21.959999,37.720001
30-05-2014,120.760002,192.190002,16697.33008,28.549999,110.02,103.59,39935,2.466,1462.4,835.6,80.535,22.139999,37.650002
02-06-2014,119.93,192.949997,16716.84961,28.450001,109.7,102.94,39657,2.484,1452.35,836.45,80.405,22.32,37.52
03-06-2014,119.730003,192.429993,16736.69922,28.75,108.8,102.47,39633,2.529,1436.65,833.15,80.69,22.290001,37.490002
04-06-2014,120.099998,192.470001,16720,28.9,108.89,102.8,39899,2.595,1431.4,834,80.6,22.4,37.849998
05-06-2014,120.550003,193.410004,16739.14063,29.049999,108.13,102.39,39830,2.597,1439.55,835.3,80.685,22.5,37.27
06-06-2014,120.68,194.869995,16839.64063,29.15,108.85,102.47,40113,2.582,1443.25,845.5,80.4,22.639999,37.66
09-06-2014,120.790001,195.350006,16926.08008,30.15,108.68,102.82,39980,2.595,1453.25,844.95,80.445,22.639999,37.970001
10-06-2014,121.290001,195.339996,16940.40039,30.25,109.95,104.48,40297,2.602,1452.85,850.6,80.645,22.67,38.330002
11-06-2014,121.510002,194.899994,16943.16016,30.950001,109.61,104.32,40550,2.653,1475.65,857.6,80.835,23.120001,38.220001
